course_id,github_link,google_forms_edit,google_forms_view,date_created
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/accessibility/quiz.md?token=GHSAT0AAAAAABQGBSTJWRUAGP5KZLI7T2K4YP3S34Q,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/css-basics/quiz.md?token=GHSAT0AAAAAABQGBSTIQWCA32QT3F2XPWDUYP2M4QA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/css-layout-with-flexbox/quiz.md?token=GHSAT0AAAAAABQGBSTI7Z6HLH2S3JQAIY3QYP2M5AQ,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/css-layout-with-grid/quiz.md?token=GHSAT0AAAAAABQGBSTJ2EONJMCAFPWOYQEQYP2M5SA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/css-positioning/quiz.md?token=GHSAT0AAAAAABQGBSTJ4CCGOARVADS2U642YP3S4ZA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/css-responsive/quiz.md?token=GHSAT0AAAAAABQGBSTJH7RKASDA5TXWGKYGYP3S5FA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/css-selectors/quiz.md?token=GHSAT0AAAAAABQGBSTJ3X7K67KJ3IG5WIMOYP3S5RQ,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/css-structure/quiz.md?token=GHSAT0AAAAAABQGBSTJQIA2LU2GTA6ZFBN2YP3TAEA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/git-advanced/quiz.md?token=GHSAT0AAAAAABQGBSTJEBDBIHOA7ZSB3WQYYP3TANA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/git-basics/quiz.md?token=GHSAT0AAAAAABQGBSTJA6TRHROAYPSJ5MS4YP3TA3Q,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/github-and-markdown/quiz.md?token=GHSAT0AAAAAABQGBSTJF2ZSBFGO4ROM54WQYP3TBMA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/html-basics-and-the-web/quiz.md?token=GHSAT0AAAAAABQGBSTJVCVAEFVG6TGGUO3KYP3TBYA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/js-basics/quiz.md?token=GHSAT0AAAAAABQGBSTIBKQXZXXD353O6K3SYP3TCDQ,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/js-inputs-and-strings/quiz.md?token=GHSAT0AAAAAABQGBSTI56NTFKVZDC2YXH6KYP3TCRA,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/shell-basics/quiz.md?token=GHSAT0AAAAAABQGBSTITEBSSQICAXC464SCYP3TDUQ,,,
hh-web-22-1,https://raw.githubusercontent.com/neuefische/web-pool-2022/main/sessions/storybook-for-css/quiz.md?token=GHSAT0AAAAAABQGBSTIGOZTYGTFZNJA2YZ6YP3TD5Q,,,
